danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,calm,energetic,happy,sad,dark,romantic,focus,hype
0.3745401188473625,0.9507143064099162,-16.080363491315694,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.05808361216819946,0.8661761457749352,144.15610164404922,0.0,0.9507143064099162,0.8661761457749352,0.13382385422506482,0.0,0.0,0.0,0.0
0.7080725777960455,0.020584494295802447,-1.8054088702803384,0.8324426408004217,0.21233911067827616,0.18182496720710062,0.18340450985343382,0.3042422429595377,133.4659004285133,0.0,0.020584494295802447,0.3042422429595377,0.6957577570404623,0.0,0.0,0.0,0.0
0.43194501864211576,0.2912291401980419,-23.28882631665723,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.45606998421703593,0.7851759613930136,87.95432950217037,0.0,0.2912291401980419,0.7851759613930136,0.2148240386069864,0.0,0.0,0.0,0.0
0.5142344384136116,0.5924145688620425,-57.21297523680013,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.9488855372533332,0.9656320330745594,173.17562873630456,0.0,0.5924145688620425,0.9656320330745594,0.03436796692544064,0.0,0.0,0.0,0.0
0.3046137691733707,0.09767211400638387,-18.946018409270586,0.4401524937396013,0.12203823484477883,0.4951769101112702,0.034388521115218396,0.9093204020787821,96.22919742400236,0.0,0.09767211400638387,0.9093204020787821,0.09067959792121794,0.0,0.0,0.0,0.0
0.662522284353982,0.31171107608941095,-28.79591872933135,0.5467102793432796,0.18485445552552704,0.9695846277645586,0.7751328233611146,0.9394989415641891,185.27582905987083,0.0,0.31171107608941095,0.9394989415641891,0.060501058435810884,0.0,0.0,1.0,0.0
0.5978999788110851,0.9218742350231168,-54.69044987688483,0.1959828624191452,0.045227288910538066,0.32533033076326434,0.388677289689482,0.2713490317738959,176.02325128127012,0.0,0.9218742350231168,0.2713490317738959,0.7286509682261041,0.0,0.0,0.0,0.0
0.3567533266935893,0.28093450968738076,-27.43823501050509,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.9868869366005173,0.7722447692966574,87.82019541478414,1.0,0.28093450968738076,0.7722447692966574,0.22775523070334258,0.0,1.0,0.0,0.0
0.005522117123602399,0.8154614284548342,-17.58855936914297,0.7290071680409873,0.7712703466859457,0.07404465173409036,0.3584657285442726,0.11586905952512971,180.8344796225831,0.0,0.8154614284548342,0.11586905952512971,0.8841309404748703,0.0,0.0,0.0,0.0
0.6232981268275579,0.3308980248526492,-56.18649898283858,0.3109823217156622,0.32518332202674705,0.7296061783380641,0.6375574713552131,0.8872127425763265,126.11008952267291,0.0,0.3308980248526492,0.8872127425763265,0.11278725742367346,0.0,0.0,1.0,0.0
0.1195942459383017,0.713244787222995,-14.352897082986154,0.5612771975694962,0.770967179954561,0.49379559636439074,0.5227328293819941,0.42754101835854963,63.55867774417332,0.0,0.713244787222995,0.42754101835854963,0.5724589816414504,0.0,0.0,0.0,0.0
0.10789142699330445,0.03142918568673425,-21.815375324173175,0.3143559810763267,0.5085706911647028,0.907566473926093,0.24929222914887494,0.41038292303562973,165.77715939602683,0.0,0.03142918568673425,0.41038292303562973,0.5896170769643703,0.0,0.0,1.0,0.0
0.22879816549162246,0.07697990982879299,-42.61491282517392,0.16122128725400442,0.9296976523425731,0.808120379564417,0.6334037565104235,0.8714605901877177,172.514090765876,1.0,0.07697990982879299,0.8714605901877177,0.1285394098122823,0.0,1.0,1.0,0.0
0.18657005888603584,0.8925589984899778,-27.63946548506096,0.8074401551640625,0.8960912999234932,0.3180034749718639,0.11005192452767676,0.22793516254194168,119.79509040767589,0.0,0.8925589984899778,0.22793516254194168,0.7720648374580583,0.0,0.0,0.0,0.0
0.8180147659224931,0.8607305832563434,-59.58287216812856,0.5107473025775657,0.417411003148779,0.22210781047073025,0.1198653673336828,0.33761517140362796,192.0073585477527,0.0,0.8607305832563434,0.33761517140362796,0.662384828596372,0.0,0.0,0.0,1.0
0.32320293202075523,0.5187906217433661,-17.818862466289332,0.363629602379294,0.9717820827209607,0.9624472949421112,0.25178229582536416,0.49724850589238545,102.12296337434776,0.0,0.5187906217433661,0.49724850589238545,0.5027514941076145,0.0,0.0,1.0,0.0
